name,ingredients,dietary,cuisine,cooking_time,ingredient_quantities,ingredient_units
Spaghetti Pomodoro,"spaghetti,tomatoes,olive oil,garlic,basil","vegetarian","Italian",25,"200,300,50,5,10","grams,grams,ml,grams,grams"
Margherita Pizza,"pizza dough,tomatoes,mozzarella,basil,olive oil","vegetarian","Italian",40,"250,150,125,5,10","grams,grams,grams,grams,ml"
Pasta Carbonara,"spaghetti,eggs,pancetta,parmesan,black pepper","none","Italian",30,"200,2,100,50,2","grams,units,grams,grams,grams"
Lasagna Bolognese,"lasagna sheets,ground beef,tomato sauce,ricotta,parmesan","none","Italian",60,"200,150,200,100,50","grams,grams,grams,grams,grams"
Risotto Funghi,"arborio rice,mushrooms,parmesan,butter,vegetable broth","vegetarian","Italian",35,"200,150,50,30,500","grams,grams,grams,grams,ml"
Caprese Salad,"tomatoes,mozzarella,basil,olive oil,salt","vegetarian","Italian",10,"200,150,10,10,2","grams,grams,grams,ml,grams"
Pasta Puttanesca,"spaghetti,olives,capers,tomatoes,garlic,anchovies","none","Italian",25,"200,50,20,200,5,30","grams,grams,grams,grams,grams,grams"
Tiramisu,"mascarpone,eggs,sugar,coffee,ladyfingers,cocoa powder","vegetarian","Italian",45,"250,3,50,150,100,10","grams,units,grams,ml,grams,grams"
Gnocchi al Pesto,"potatoes,flour,basil,parmesan,olive oil,garlic","vegetarian","Italian",30,"300,100,30,50,30,5","grams,grams,grams,grams,ml,grams"
Osso Buco,"veal shanks,carrots,onion,celery,tomatoes,white wine","none","Italian",120,"2,100,50,50,200,100","units,grams,grams,grams,grams,ml"
Sushi Roll,"rice,nori,raw salmon,avocado,cucumber","none","Japanese",30,"200,5,100,50,50","grams,sheets,grams,grams,grams"
Miso Soup,"miso paste,tofu,seaweed,green onion,water","vegetarian","Japanese",15,"50,100,10,5,500","grams,grams,grams,grams,ml"
Tempura Vegetables,"vegetables,flour,egg,water,oil","vegetarian","Japanese",25,"200,100,1,150,50","grams,grams,units,ml,ml"
Teriyaki Chicken,"chicken,soy sauce,sugar,mirin,ginger","none","Japanese",25,"200,50,20,30,5","grams,ml,grams,ml,grams"
Ramen Noodles,"noodles,chicken broth,egg,green onion,pork","none","Japanese",40,"200,500,1,10,100","grams,ml,units,grams,grams"
Okonomiyaki,"cabbage,flour,egg,bacon,green onion","none","Japanese",30,"150,100,1,50,10","grams,grams,units,grams,grams"
Soba Noodles,"soba noodles,soy sauce,green onion,wasabi,mirin","vegetarian","Japanese",20,"200,50,10,5,10","grams,ml,grams,grams,ml"
Yakitori,"chicken,soy sauce,sake,sugar,green onion","none","Japanese",20,"200,50,30,20,10","grams,ml,ml,grams,grams"
Onigiri,"rice,nori,salmon,sesame seeds,soy sauce","none","Japanese",20,"200,5,50,5,10","grams,sheets,grams,grams,ml"
Katsu Curry,"chicken,flour,egg,breadcrumbs,curry sauce","none","Japanese",45,"200,50,1,100,150","grams,grams,units,grams,ml"
Butter Chicken,"chicken,butter,tomato cream,garlic,ginger","none","Indian",50,"200,50,100,5,5","grams,grams,grams,grams,grams"
Palak Paneer,"spinach,paneer,garlic,ginger,cream","vegetarian","Indian",30,"200,150,5,5,50","grams,grams,grams,grams,ml"
Chole,"chickpeas,onion,tomato,garlic,spices","vegetarian","Indian",40,"200,100,100,5,10","grams,grams,grams,grams,grams"
Biryani,"rice,chicken,yogurt,spices,onion","none","Indian",60,"200,200,50,10,50","grams,grams,ml,grams,grams"
Masala Dosa,"rice,urad dal,potato,onion,spices","vegetarian","Indian",35,"200,100,150,50,10","grams,grams,grams,grams,grams"
Paneer Tikka,"paneer,yogurt,spices,lemon,oil","vegetarian","Indian",30,"150,50,10,10,20","grams,ml,grams,ml,ml"
Rogan Josh,"lamb,yogurt,garlic,ginger,spices","none","Indian",60,"200,50,5,5,10","grams,ml,grams,grams,grams"
Aloo Gobi,"potato,cauliflower,garlic,ginger,spices","vegetarian","Indian",25,"200,150,5,5,10","grams,grams,grams,grams,grams"
Tandoori Chicken,"chicken,yogurt,spices,lemon,oil","none","Indian",40,"200,50,10,10,20","grams,ml,grams,ml,ml"
Dhokla,"gram flour,yogurt,spices,water,oil","vegetarian","Indian",30,"200,50,5,50,10","grams,ml,grams,ml,ml"
Kung Pao Chicken,"chicken,peanuts,chili,spring onion,soy sauce","none","Chinese",25,"200,50,10,10,30","grams,grams,grams,grams,ml"
Sweet and Sour Pork,"pork,pineapple,bell pepper,sugar,vinegar","none","Chinese",30,"200,100,100,20,20","grams,grams,grams,grams,ml"
Mapo Tofu,"tofu,ground pork,bean paste,garlic,green onion","none","Chinese",25,"200,100,30,5,10","grams,grams,grams,grams,grams"
Fried Rice,"rice,egg,carrots,peas,soy sauce","vegetarian","Chinese",20,"200,2,50,50,20","grams,units,grams,grams,ml"
Chow Mein,"noodles,chicken,cabbage,carrot,soy sauce","none","Chinese",25,"200,200,100,50,20","grams,grams,grams,grams,ml"
Spring Rolls,"cabbage,carrot,mushroom,wrappers,oil","vegetarian","Chinese",30,"100,50,50,10,50","grams,grams,grams,grams,ml"
Hot and Sour Soup,"tofu,mushroom,egg,vinegar,chili","vegetarian","Chinese",15,"200,50,1,20,5","grams,grams,units,ml,grams"
Peking Duck,"duck,pancakes,hoisin,spring onion,cucumber","none","Chinese",60,"1,10,30,10,50","units,grams,ml,grams,grams"
Beef and Broccoli,"beef,broccoli,soy sauce,garlic,ginger","none","Chinese",25,"200,200,20,5,5","grams,grams,ml,grams,grams"
Egg Fried Noodles,"noodles,egg,soy sauce,green onion,carrot","vegetarian","Chinese",20,"200,2,20,10,50","grams,units,ml,grams,grams"
Hummus,"chickpeas,olive oil,lemon,garlic,tahini","vegetarian","Middle Eastern",15,"200,50,20,5,50","grams,ml,ml,grams,grams"
Falafel,"chickpeas,parsley,garlic,onion,spices","vegetarian","Middle Eastern",25,"200,10,5,50,10","grams,grams,grams,grams,grams"
Shawarma,"chicken,garlic,spices,yogurt,lettuce","none","Middle Eastern",30,"200,5,10,50,50","grams,grams,grams,ml,grams"
Tabbouleh,"parsley,tomato,bulghur,lemon,olive oil","vegetarian","Middle Eastern",20,"50,50,50,20,20","grams,grams,grams,ml,ml"
Kebabs,"lamb,garlic,spices,lemon,oil","none","Middle Eastern",40,"200,5,10,10,20","grams,grams,grams,ml,ml"
Baklava,"phyllo,nuts,butter,honey,sugar","vegetarian","Middle Eastern",50,"100,50,50,30,20","grams,grams,grams,ml,grams"
Fattoush,"lettuce,tomato,cucumber,olive oil,pita bread","vegetarian","Middle Eastern",15,"100,50,50,20,50","grams,grams,grams,ml,grams"
Mujadara,"lentils,rice,onion,oil,spices","vegetarian","Middle Eastern",40,"200,100,50,20,10","grams,grams,grams,ml,grams"
Dolma,"grape leaves,rice,onion,olive oil,spices","vegetarian","Middle Eastern",45,"100,50,50,20,10","grams,grams,grams,ml,grams"
Manakeesh,"flour,yeast,cheese,olive oil,zaatar","vegetarian","Middle Eastern",30,"200,5,100,20,10","grams,grams,grams,ml,grams"